Time (s),RMS Current (A),Peak Current (A),Min Current (A)
0.147638,0.077693,0.058903,-0.145302
0.147652,0.043199,-0.043199,-0.043199
0.147667,0.068064,0.058903,-0.094251
0.147682,0.117367,-0.094251,-0.145302
0.147696,0.136626,-0.094251,-0.145302
0.147710,0.179609,-0.094251,-0.298455
0.147725,0.136626,-0.094251,-0.145302
0.147739,0.107934,0.007852,-0.196353
0.147753,0.084373,-0.043199,-0.145302
0.149102,0.097799,0.007852,-0.145302
0.149121,0.053932,0.007852,-0.094251
0.149136,0.062537,0.109954,-0.043199
0.149151,0.084373,-0.043199,-0.145302
0.149165,0.084373,0.007852,-0.094251
0.149180,0.068359,-0.043199,-0.094251
0.149194,0.077951,-0.043199,-0.094251
0.149209,0.089894,0.161005,-0.094251
0.149262,0.053932,0.007852,-0.094251
0.149278,0.043199,-0.043199,-0.043199
0.149293,0.084373,-0.043199,-0.145302
0.149307,0.038798,0.007852,-0.043199
0.149322,0.086253,0.058903,-0.145302
0.149336,0.057180,-0.043199,-0.094251
0.149350,0.027990,0.007852,-0.043199
0.149365,0.027990,0.007852,-0.043199
0.149379,0.038798,0.007852,-0.043199
0.149394,0.053932,0.007852,-0.094251
0.149408,0.043199,-0.043199,-0.043199
0.149422,0.042731,0.058903,-0.043199
0.150765,0.084373,-0.043199,-0.145302
0.150783,0.053932,0.007852,-0.094251
0.150798,0.090117,0.109954,-0.094251
0.150813,0.033829,0.007852,-0.043199
0.150828,0.042731,0.058903,-0.043199
0.150843,0.043199,-0.043199,-0.043199
0.150857,0.038798,0.007852,-0.043199
0.150872,0.038798,0.007852,-0.043199
0.150886,0.043199,-0.043199,-0.043199
0.150901,0.057180,-0.043199,-0.094251
0.150915,0.153746,0.263107,-0.145302
0.150929,0.134104,0.161005,0.007852
0.150944,0.132752,0.161005,0.109954
0.150958,0.095094,0.161005,-0.094251
0.150972,0.106810,0.161005,0.058903
0.150987,0.094882,0.161005,0.007852
0.151001,0.091220,0.109954,-0.043199
0.151016,0.064741,0.109954,-0.043199
0.151030,0.067172,0.109954,0.007852
0.151044,0.053181,0.109954,-0.043199
0.168242,0.027262,0.058903,0.007852
0.168262,0.088092,0.007852,-0.196353
0.168278,0.046764,0.058903,-0.043199
0.168292,0.059582,0.109954,-0.043199
0.168307,0.057180,-0.043199,-0.094251
0.168321,0.053932,0.007852,-0.094251
0.168336,0.038798,0.007852,-0.043199
0.168350,0.059919,0.058903,-0.094251
0.168366,0.043199,-0.043199,-0.043199
0.168380,0.070380,0.109954,-0.094251
0.168395,0.033829,0.007852,-0.043199
0.168410,0.038798,0.007852,-0.043199
0.168424,0.068359,-0.043199,-0.094251
0.168438,0.043199,-0.043199,-0.043199
0.168453,0.065666,0.007852,-0.094251
0.168467,0.033829,0.007852,-0.043199
0.168482,0.043199,-0.043199,-0.043199
0.168496,0.038798,0.007852,-0.043199
0.168510,0.135299,-0.043199,-0.196353
0.168525,0.166518,-0.094251,-0.247404
0.169879,0.120235,0.007852,-0.145302
0.169899,0.121727,-0.043199,-0.145302
0.169914,0.128614,0.007852,-0.196353
0.169929,0.121727,-0.043199,-0.145302
0.169943,0.226682,-0.043199,-0.451608
0.169958,0.092316,-0.043199,-0.145302
0.169972,0.090340,0.007852,-0.145302
0.169987,0.086486,-0.043199,-0.094251
0.170002,0.086486,-0.043199,-0.094251
0.170016,0.086486,-0.043199,-0.094251
0.170031,0.079982,0.058903,-0.094251
0.170046,0.214784,-0.043199,-0.451608
0.170061,0.042731,0.058903,-0.043199
0.170075,0.073175,0.007852,-0.145302
0.170090,0.065666,0.007852,-0.094251
0.170104,0.110865,0.007852,-0.247404
0.170119,0.057180,-0.043199,-0.094251
0.170133,0.097799,-0.043199,-0.145302
0.170147,0.050475,0.007852,-0.094251
0.170162,0.053932,0.007852,-0.094251
0.171509,0.053932,0.007852,-0.094251
0.171527,0.057180,-0.043199,-0.094251
0.171542,0.038798,0.007852,-0.043199
0.171557,0.038798,0.007852,-0.043199
0.171572,0.053932,0.007852,-0.094251
0.171587,0.027990,0.007852,-0.043199
0.171602,0.038798,0.007852,-0.043199
0.171617,0.057180,-0.043199,-0.094251
0.171632,0.038798,0.007852,-0.043199
0.171649,0.075601,-0.043199,-0.145302
0.171664,0.038798,0.007852,-0.043199
0.171678,0.046764,0.058903,-0.043199
